vor_id,area_sq,area_sqrt,res_value_marla,com_value_marla
vor0,632678.8576147131,795.4111249000186,149250,298500
vor1,1086560.5766869837,1042.3821644133134,149250,298500
vor2,1115352.343991945,1056.1024306344273,149250,298500
vor3,1095228.705329928,1046.531750750988,149250,298500
vor4,944687.3178017907,971.9502650865376,149250,298500
vor5,944533.2636920081,971.8710118590883,149250,298500
vor6,660075.7551687022,812.450463209113,149250,298500
vor7,1011886.3015208534,1005.9255944257773,149250,298500
vor8,943807.2364111508,971.4974196626313,149250,298500
vor9,943653.3935184458,971.4182382055866,149250,298500
vor10,943499.5080161096,971.3390283603916,149250,298500
vor11,934126.0260130883,966.5019534450452,149250,298500
vor12,1164467.1564231683,1079.104793995082,149250,298500
vor13,942926.6757300111,971.0441162635254,149250,298500
vor14,942773.0440295561,970.9650065937269,149250,298500
vor15,942619.369713855,970.8858685313403,149250,298500
vor16,942465.6528338541,970.8067020956613,748500,709541
vor17,942311.893439436,970.7275073054415,748500,709541
vor18,832334.7033754174,912.3237930556329,748500,709541
vor19,880443.1407651578,938.3193170585149,191880,358650
vor20,808833.7724659928,899.3518624353834,238800,409500
vor21,941892.2153627786,970.5113164527133,149250,298500
vor22,941738.7522074508,970.432250189291,748500,709541
vor23,941585.2464846888,970.3531555494055,748500,709541
vor24,941431.6982409804,970.2740325500731,748500,709541
vor25,941278.1075340351,970.1948812140967,748500,709541
vor26,941124.4744098918,970.1157015582686,748500,709541
vor27,1103587.221757055,1050.517597071584,191880,358650
vor28,940817.081121093,969.9572573681239,191880,358650
vor29,1076950.0838772934,1037.7620555200954,191880,358650
vor30,586905.5578447025,766.0976163940876,191880,358650
vor31,1719437.8792493835,1311.273380820866,238800,409500
vor32,940857.6556538804,969.9781727718828,748500,709541
vor33,940704.3610618424,969.8991499438704,748500,709541
vor34,940551.0239451525,969.820098752935,748500,709541
vor35,940397.6443597421,969.7410192209784,748500,709541
vor36,940244.2223520858,969.6619113650313,748500,709541
vor37,940090.757977769,969.5827752068252,191880,358650
vor38,939937.2512833079,969.5036107634195,191880,358650
vor39,939783.7023230167,969.4244180558981,191880,358650
vor40,939630.1111465632,969.3451971029532,191880,358650
vor41,1004731.1515439873,1002.3627843969405,191880,358650
vor42,500970.0450101029,707.7923742243222,191880,358650
vor43,998667.73008944,999.3336430289136,748500,709541
vor44,939669.870695598,969.3657053432404,748500,709541
vor45,939516.7022055099,969.2866976315676,748500,709541
vor46,939363.4912875759,969.2076615914548,171600,257400
vor47,939210.2380006992,969.1285972463609,171600,257400
vor48,939056.942389823,969.0495046125471,174900,358200
vor49,938903.6045069674,968.9703837099291,191880,358650
vor50,938750.2244049583,968.8912345588427,191880,358650
vor51,631944.9565552421,794.9496566168465,191880,358650
vor52,946896.1488038963,973.0858897363049,200550,405300
vor53,938635.2812221313,968.8319158771202,200550,405300
vor54,938482.2813705627,968.7529516706325,200550,405300
vor55,938329.2391424945,968.673959153695,171600,257400
